"original_creator","creations","max_depth"
"0x066a2edcc0b7278a2cf5bf2a040b4a54a41a9550",5020,2
"0x225124dbcfbd9fc3092fbe8839f89e22198bc71c",5017,2
"0xff3249da62ca5286997f31f458959de9ae2f4dad",5017,1
"0xab64760b59118a6d9f5cfd16b1e1bb467677bd80",5008,2
"0x65e4618178e65f5f29c67b40283fb21e80548ddb",5002,2
"0xc4dd42b651026e2b3ce77c4a5feeb148e09769dd",5001,2
"0x13370c1947ba2d27a420bb8e27017952c80a6e6e",4993,2
"0xfc8bf1c09ae489a14448f4825740dfe69666c306",4963,1
"0x51a2813aae4e763be93a18d45dd06c5a1803de86",4961,2
"0xfaf1d783cb9b6da1a1630ab0076a2c9b51013180",4960,2
"0xf2fbae9b080ae2ac24a56cf456636804fa54db29",4922,2
"0x55e32598a1f00d9dbd5dece3e79a5c50fdcb8de9",4896,2
"0x2f5dc2462688ec4452e4390a0ad39538345523a6",4839,1
"0x85e9b260d90d7e62ead9b910f94f44a136f0e8f9",4746,1
"0xbf92d75480e13a28efee7c787615dfa0a4aada08",4744,2
"0x013a646c55505b3b692f886743a9cd75df4cfa05",4714,2
"0xf10e7b3aee370e34eef275349fd5a4dc1daaa356",4655,2
"0x917f588611f208f801574db2589a3b1f7755aff4",4649,2
"0x6a2a96c48c7cd42fc0122eb3fee7031079c0f0b2",4632,2
"0x51f900f0c3d6d70e72808d0da9427fdd7c98294a",4618,2
"0x99921736f94e667d5ffcff56e8b9741815e3963f",4588,2
"0x6345ac8afd7728ee9a74bb9ad0c9138c6f7f87d9",4519,2
"0xce697566319afa598bdab7dd4a3bdab15745ea17",4501,2
"0x4d8be7f55dafa54925f9fb2fd3bcd9b48d0b3966",4494,2
"0xad6b99336e701c1543d313f604bee4b25fba6847",4493,2
"0xdfec0328a07c399a7e32364defd3be6aab9365d3",4467,2
"0xce136bfcfaaf83b6b1995792ba826ca16082d523",4461,2
"0xd628773330aab3a897312c15e90beeec8768b48f",4452,2
"0x0d580ae50b58fe08514deab4e38c0dfdb0d30adc",4441,2
"0xc09f536eb3d8c866075b288e852b30b535374890",4435,4
"0xbe3e00ab5f19f8e4b0f75c960eec11b86a337daf",4408,1
"0x24034bca09202a622469c546120fb27421df0d4d",4384,2
"0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13",4365,1
"0x40d0f1c7979cd5e91f52a0fe00a1c61b466baa15",4340,2
"0x9c59990ec0177d87ed7d60a56f584e6b06c639a2",4332,3
"0xa80000228cf1a6d4d267aa7ea2ba5841d1952d1c",4326,2
"0xf32834f14f80c89cb31a82907bf474fda15fce99",4306,2
"0x67b8a8e2922c7522b5b8920a27715c8d80e9787f",4254,2
"0x9ebc8e61f87a301ff25a606d7c06150f856f24e2",4212,2
"0xb055d8410e87ab0382fd147686f6a7f6cf085147",4187,2
"0x5f40c0104527c79ac98281acc8b3901d62f941c2",4174,1
"0xf942dba4159cb61f8ad88ca4a83f5204e8f4a6bd",4168,2
"0x88888888ce394f3d5e318b66cbec6ed6e9ca980b",4151,2
"0x9efe43cafd9da49ed7af1215eaa392f46e3d766d",4151,2
"0xc6279e779b74e04d6936093b21adc95f754e5e49",4130,2
"0x085692c5c0cfe160aeed92bb904be1a299746ea5",4127,2
"0xeee4974385f19cd09d1ba1d9d20f297dc75737e9",4101,2
"0x033f1bd87afe19d6045ced3cf8baa95b8ad5aec0",4071,2
"0x820574d5ac9372a293912d0c33777c9941efaca9",4053,2
"0xaa618a0738f2e45d797dccd691fb6037cb3a6475",4027,2
"0xd1c24f50d05946b3fabefbae3cd0a7e9938c63f2",4020,2
"0x6363f7a91e0333ef4cea9c2a5df8955915a5b9a2",4009,5
